Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
90371,Hepatitis B immune globulin for injection into muscle,HyperHEP B S-D*,Hepatitis B Immune Globulin*,This medication is used to prevent a certain serious virus infection (hepatitis B) in people who have been exposed to this virus under certain conditions (such as direct contact with blood or body fluids containing this virus). Certain brands of this medication may also be given after a liver transplant to prevent return of hepatitis B infection in people with previous infection. Ask your doctor or pharmacist if you have questions about your particular brand. This medication is made from healthy human blood that has high levels of certain defensive substances (antibodies) that help fight hepatitis B.
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,HyperRAB S-D,Rabies Immune Globulin/PF, 
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF, 
90586,Vaccine for bladder cancer injection into urinary bladder,BCG (Tice Strain) (90586)*,BCG Live*,This vaccine is used to prevent tuberculosis (TB) in people who have not been infected with the disease but are at a high risk of getting it. This vaccine is not used to treat tuberculosis. This vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria that causes tuberculosis. This form of the vaccine is not used to treat or prevent bladder cancer.
90630,Vaccine for influenza for injection into skin,Vaccine Influenza Injection Skin (Fluzone)**, , 
90632,"Vaccine for Hepatitis A injection into muscle, adult dosage",Havrix*,Hepatitis A Virus Vaccine/PF*,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems. Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems). The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
90653,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluad)**, , 
90656,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Injection Muscle (Fluvirin), Age 3+ Years**", , 
90662,Vaccine for influenza for injection into muscle,Vaccine Influenza Injection Muscle (Fluzone High-Dose)**, , 
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumoc 13-Val Conj-Dip Crm/PF,"This vaccine is used to help protect from infection due to a certain bacteria (Streptococcus pneumoniae). This bacteria can cause ear infection or other more serious infections (such as pneumonia, meningitis). Some brands are approved for use only in children, while others can be used in both children and adults. Vaccines may not fully protect everyone who receives them. Another form of this vaccine should be used if the child or adult has certain medical conditions (such as heart disease, lung disease, liver disease, diabetes, spleen problems, sickle cell anemia, HIV infection). Talk to your health care professional for more details."
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",Vaccine Influenza Muscle Preservative/Antibiotic Free (Flublok)**, , 
90674,"Influenza virus vaccine, quadrivalent (ccIIV4)","Influenza virus vaccine, quadrivalent (ccIIV4)**", , 
90675,Vaccine for rabies injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*", 
90685,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.25 mL, Age 6-35 Months**", , 
90686,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 0.5 mL,  Age 3+ Years **", , 
90687,"Vaccine for influenza for administration into muscle, 0.25 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 6-35 Months**", , 
90688,"Vaccine for influenza for administration into muscle, 0.5 ml dosage","Vaccine Influenza Muscle (Fluzone), 5 mL, Age 3+ Years**", , 
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",Tenivac*,Tetanus-Diphtheria Toxoids/PF*,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Adacel Tdap*,"Diph,pertuss(Acell),tet Vac/PF*","This vaccine is used to keep up protection (immunity) against diphtheria, tetanus (lockjaw) and pertussis (whooping cough) in children and adults who have been vaccinated for these diseases in the past. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies). Booster doses are needed to keep up immunity because antibody levels may become too low over time to provide the needed protection."
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older","Vaccine Pneumococcal Polysaccharide Injection Skin/Muscle, Age 2+ Years**", , 
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 3 Dose Injection Muscle,  Immunosuppressed**", , 
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient","Vaccine Hepatitis B 2 Dose Injection Muscle, Adolescent**", , 
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients","Vaccine Hepatitis B 3 Dose Injection Muscle, Pediatric/Adolescent**", , 
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,"Vaccine Hepatitis B 3 Dose Injection Muscle, Adult**", , 
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient","Vaccine Hepatitis B 4 Dose Injection Muscle, Immunosuppressed**", , 
A9575,"Injection, gadoterate meglumine, 0.1 ml",Dotarem,Gadoterate Meglumine, 
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol, 
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine, 
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine, 
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*, 
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate DIsodium, 
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol, 
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,"This medication is used to treat rheumatoid arthritis, a condition in which the body's own defense system (immune system) attacks healthy tissue. This leads to swelling in the joints, which causes pain and makes it harder to move. Abatacept works by weakening your immune system. This effect helps to slow down joint damage and reduce joint pain and swelling so you can move better. This medication is also used to treat other types of arthritis (such as juvenile idiopathic arthritis, psoriatic arthritis)."
J0130,"Injection abciximab, 10 mg",Reopro,Abciximab, 
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*, 
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,"This medication is used in certain people to treat outbreaks of herpes simplex infection of the skin (e.g., genitals), mucous membrane areas (e.g., mouth, nose), or brain. It is also used in certain people to treat shingles infection. The viruses that cause these infections live in the body quietly until an outbreak occurs. Acyclovir does not cure these infections, but can speed healing of the sores, decrease pain/itching/formation of new sores, and lower the risk of other problems from the virus (e.g., infection spreading to other parts of the body/organs, persistent pain after sores heal)."
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard*,Adenosine*, 
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*, 
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,"Aflibercept is used to treat certain serious eye conditions (such as wet age-related macular degeneration - wet AMD, macular edema following central retinal vein occlusion, diabetic macular edema). This medication can help preserve vision and prevent blindness. Aflibercept belongs to a class of drugs known as growth factor inhibitors. It works by slowing the growth of abnormal new blood vessels in the eye and decreasing leakage from these blood vessels."
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta, 
J0202,"Injection, alemtuzumab, 1 mg",Lemtrada,Alemtuzumab,"Alemtuzumab is used to treat a certain type of leukemia (B-cell chronic lymphocytic leukemia, also known as B-CLL). This medication works by stopping the growth of cancer cells. Alemtuzumab is also used to treat a certain type of multiple sclerosis (relapsing multiple sclerosis-MS). It is not a cure for MS but it is thought to help by preventing immune system cells (lymphocytes) from attacking the nerves in your brain and spinal cord. It helps decrease the number of episodes of worsening and may prevent or delay disability."
J0207,"Injection, amifostine, 500 mg",Amifostine*,Amifostine Crystalline*,Amifostine is used to decrease the risk of kidney problems caused by treatment with a certain anti-cancer drug (cisplatin). It is also used to help prevent a certain side effect (dry mouth) caused by radiation treatment for head and neck cancer. Amifostine is thought to work by preventing certain chemicals from damaging healthy cells. It may also help repair cells damaged by cisplatin or radiation treatment.
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa, 
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,"This medication is used to treat lung problems (emphysema) caused by a certain inherited disease (alpha-1-proteinase inhibitor deficiency). In people with this condition, lung damage is caused by elastase, a natural substance that the body needs to kill bacteria in the lungs. Normally, a protein (alpha-1-proteinase inhibitor) stops elastase from working when it is no longer needed. However, in people who do not make enough of this protein, elastase does not stop working and damages the lungs. This medication replaces the missing alpha-1-proteinase inhibitor and helps to prevent further lung damage."
J0257,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",Glassia,Alpha-1-Proteinase Inhibitor,"This medication is used to treat lung problems (emphysema) caused by a certain inherited disease (alpha-1-proteinase inhibitor deficiency). In people with this condition, lung damage is caused by elastase, a natural substance that the body needs to kill bacteria in the lungs. Normally, a protein (alpha-1-proteinase inhibitor) stops elastase from working when it is no longer needed. However, in people who do not make enough of this protein, elastase does not stop working and damages the lungs. This medication replaces the missing alpha-1-proteinase inhibitor and helps to prevent further lung damage."
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,This medication is used to prevent or treat a wide variety of bacterial infections. Amikacin belongs to a class of drugs known as aminoglycoside antibiotics. It works by stopping the growth of bacteria.
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline, 
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,"See also Warning section. This medication is used to treat a variety of serious, possibly fatal fungal infections. It works by stopping the growth of fungi."
J0287,"Injection, amphotericin b lipid complex, 10 mg",Abelcet,Amphotericin B Lipid Complex,This medication is used to treat a variety of serious fungal infections. It is often used in patients who cannot tolerate or who do not respond to the regular amphotericin treatment. It works by stopping the growth of fungi.
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome,Amphotericin B Liposome,This medication is used to treat a variety of serious fungal infections. It is often used in patients who cannot tolerate or who do not respond to the regular amphotericin treatment. It works by stopping the growth of fungi.
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,"Ampicillin is used to treat a wide variety of bacterial infections. It is a penicillin-type antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (e.g., common cold, flu). Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na*,This combination medication is used to treat a wide variety of bacterial infections. It is known as a penicillin-type antibiotic. It works by stopping the growth of bacteria.
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL, 
